M d02 d05 d08 s1 s3
2.3700 0.121114 0.249394 0.336903 0.514371 0.354680
2.3800 0.119737 0.246366 0.332695 0.509057 0.352199
2.3900 0.118352 0.243330 0.328480 0.503693 0.349680
2.4000 0.116960 0.240286 0.324259 0.498278 0.347121
2.4100 0.115560 0.237234 0.320032 0.492814 0.344520
2.4200 0.114153 0.234174 0.315799 0.487300 0.341876
2.4300 0.112739 0.231106 0.311559 0.481738 0.339187
2.4400 0.111318 0.228030 0.307314 0.476127 0.336450
2.4500 0.109890 0.224947 0.303063 0.470469 0.333665
2.4600 0.108454 0.221856 0.298806 0.464764 0.330830
2.4700 0.107012 0.218758 0.294543 0.459012 0.327943
2.4800 0.105564 0.215653 0.290275 0.453214 0.325003
2.4900 0.104108 0.212541 0.286001 0.447371 0.322009
2.5000 0.102646 0.209422 0.281722 0.441483 0.318959
2.5100 0.101178 0.206296 0.277438 0.435551 0.315851
2.5200 0.099704 0.203163 0.273149 0.429576 0.312686
2.5300 0.098223 0.200024 0.268854 0.423558 0.309461
2.5400 0.096736 0.196878 0.264555 0.417497 0.306175
2.5500 0.095244 0.193726 0.260250 0.411394 0.302828
2.5600 0.093745 0.190568 0.255941 0.405251 0.299419
2.5700 0.092241 0.187404 0.251627 0.399067 0.295946
2.5800 0.090731 0.184233 0.247309 0.392843 0.292410
2.5900 0.089215 0.181057 0.242986 0.386579 0.288809
2.6000 0.087694 0.177875 0.238658 0.380277 0.285142
2.6100 0.086168 0.174688 0.234326 0.373937 0.281409
2.6200 0.084637 0.171495 0.229990 0.367560 0.277611
2.6300 0.083100 0.168296 0.225650 0.361145 0.273745
2.6400 0.081558 0.165093 0.221305 0.354695 0.269812
2.6500 0.080012 0.161884 0.216957 0.348209 0.265812
2.6600 0.078460 0.158670 0.212605 0.341689 0.261744
2.6700 0.076904 0.155451 0.208249 0.335134 0.257608
2.6800 0.075343 0.152227 0.203889 0.328546 0.253405
2.6900 0.073778 0.148999 0.199525 0.321925 0.249134
2.7000 0.072208 0.145766 0.195158 0.315271 0.244795
2.7100 0.070634 0.142528 0.190788 0.308586 0.240390
2.7200 0.069056 0.139286 0.186414 0.301871 0.235916
2.7300 0.067474 0.136040 0.182036 0.295125 0.231377
2.7400 0.065887 0.132789 0.177656 0.288349 0.226771
2.7500 0.064297 0.129534 0.173272 0.281545 0.222098
2.7600 0.062703 0.126276 0.168885 0.274713 0.217361
2.7700 0.061105 0.123014 0.164496 0.267853 0.212559
2.7800 0.059503 0.119747 0.160103 0.260966 0.207693
2.7900 0.057898 0.116477 0.155708 0.254054 0.202764
2.8000 0.056290 0.113204 0.151310 0.247115 0.197773
2.8100 0.054678 0.109927 0.146909 0.240153 0.192720
2.8200 0.053063 0.106647 0.142505 0.233166 0.187607
2.8300 0.051445 0.103364 0.138099 0.226155 0.182434
2.8400 0.049824 0.100077 0.133691 0.219123 0.177203
2.8500 0.048199 0.096788 0.129280 0.212068 0.171915
2.8600 0.046573 0.093495 0.124867 0.204992 0.166571
2.8700 0.044943 0.090200 0.120452 0.197896 0.161173
2.8800 0.043311 0.086902 0.116035 0.190779 0.155722
2.8900 0.041676 0.083601 0.111616 0.183644 0.150219
2.9000 0.040038 0.080298 0.107195 0.176490 0.144665
2.9100 0.038399 0.076993 0.102772 0.169319 0.139063
2.9200 0.036757 0.073685 0.098347 0.162131 0.133414
2.9300 0.035113 0.070375 0.093921 0.154926 0.127720
2.9400 0.033467 0.067062 0.089492 0.147706 0.121981
2.9500 0.031819 0.063748 0.085063 0.140472 0.116201
2.9600 0.030169 0.060432 0.080632 0.133223 0.110380
2.9700 0.028518 0.057114 0.076199 0.125961 0.104521
2.9800 0.026864 0.053795 0.071765 0.118686 0.098625
2.9900 0.025209 0.050473 0.067330 0.111400 0.092695
3.0000 0.023553 0.047151 0.062894 0.104102 0.086732
3.0100 0.021895 0.043827 0.058457 0.096794 0.080739
3.0200 0.020237 0.040501 0.054018 0.089476 0.074717
3.0300 0.018576 0.037175 0.049579 0.082149 0.068668
3.0400 0.016915 0.033847 0.045139 0.074814 0.062595
3.0500 0.015253 0.030518 0.040698 0.067472 0.056499
3.0600 0.013590 0.027189 0.036256 0.060123 0.050383
3.0700 0.011926 0.023858 0.031814 0.052768 0.044249
